,Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Status,Deg,Min,Sec,Deg1,Min1,Sec1,Latitude in degrees,Longitude in degrees
41,Airlie Beach,4MKY,94.7,Commercial,M,20,OD,250.0,1964002,1151246,142344,BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH,0,0,0,20 16 23S,148 42 37E,QLD,1964.0,MACKAY RA1,,Issued,20,16,23,148,42,37,20.273055555555555,148.71027777777778
42,Airlie Beach,4ABCFM,95.5,National,M,17,OD,160.0,7471001,1198682,142344,BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH,0,0,0,20 16 23S,148 42 37E,QLD,,,,Issued,20,16,23,148,42,37,20.273055555555555,148.71027777777778
43,Albany,,93.7,HPON,M,90,OD,5000.0,10002400,1171006,141768,Broadcast Site Communications Hut MOUNT BARKER,0,0,0,34 39 25S,117 38 49E,WA,,,,Issued,34,39,25,117,38,49,34.65694444444444,117.64694444444446
44,Albany,6AAY,95.3,Commercial,V,88,DA,50000.0,10002401,1152734,41036,Broadcast Australia Site Tower Road MT BARKER,0,0,0,34 39 21S,117 38 51E,WA,10041.0,ALBANY RA1,,Issued,34,39,21,117,38,51,34.655833333333334,117.64750000000001
45,Albany,6CRA,100.9,Community,V,35,DA,8000.0,10000047,1153509,601882,Community Radio Site Mt Clarence  off Apex Drv MOUNT CLARENCE,0,0,0,35 1 29S,117 53 41E,WA,10042.0,ALBANY RA2,,Issued,35,1,29,117,53,41,35.02472222222222,117.89472222222223
46,Albany Town,,104.9,HPON,V,15,OD,100.0,10000046,1152693,28477,Telstra Mast  City of Albany Site Mt Melville  off Melville Drv MOUNT MELVILLE,0,0,0,35 1 4S,117 52 15E,WA,,,,Issued,35,1,4,117,52,15,35.01777777777777,117.87083333333332
47,Albany Town,6AAY,106.5,Commercial,V,10,OD,100.0,10002402,1152733,28477,Telstra Mast  City of Albany Site Mt Melville  off Melville Drv MOUNT MELVILLE,0,0,0,35 1 4S,117 52 15E,WA,10041.0,ALBANY RA1,,Issued,35,1,4,117,52,15,35.01777777777777,117.87083333333332
48,Albury,,99.3,HPON,V,10,OD,10.0,10007964,1154767,34995,Commercial club Albury 618 Dean St ALBURY,0,0,0,36 4 48S,146 54 49E,NSW,,,,Issued,36,4,48,146,54,49,36.080000000000005,146.91361111111112
49,Albury,2APH,101.7,Community,M,30,OD,2000.0,10005693,1170090,134100,Axicom Site One Tree Hill  207 Tower Lane SPRINGDALE HEIGHTS,0,0,0,36 1 12S,146 57 43E,NSW,10372.0,ALBURY RA2,,Issued,36,1,12,146,57,43,36.019999999999996,146.96194444444444
50,Albury,2AAY,104.9,Commercial,M,60,DA,100000.0,10004577,1384929,11949,Broadcast Australia Tower Mt Baranduda  623 Ewarts Rd LENEVA,0,0,0,36 15 13S,146 51 18E,VIC,10289.0,ALBURY RA1,,Issued,36,15,13,146,51,18,36.25361111111111,146.855
51,Albury,2BDR,105.7,Commercial,M,60,DA,100000.0,10003493,1154677,11949,Broadcast Australia Tower Mt Baranduda  623 Ewarts Rd LENEVA,0,0,0,36 15 13S,146 51 18E,VIC,1150011.0,ALBURY RA1,,Issued,36,15,13,146,51,18,36.25361111111111,146.855
52,Albury,2REM,107.3,Community,M,30,OD,2000.0,10005704,1139638,134100,Axicom Site One Tree Hill  207 Tower Lane SPRINGDALE HEIGHTS,0,0,0,36 1 12S,146 57 43E,NSW,10386.0,ALBURY RA2,,Issued,36,1,12,146,57,43,36.019999999999996,146.96194444444444
53,Alexandra,3ABCRR,102.9,National,M,20,DA,3000.0,10006075,1152098,40660,Broadcast Site Burgess Rd YARCK,0,0,0,37 4 36S,145 34 23E,VIC,,,,Issued,37,4,36,145,34,23,37.07666666666667,145.57305555555556
54,Alexandra,3ABCRN,104.5,National,M,20,DA,3000.0,10006074,1152104,40660,Broadcast Site Burgess Rd YARCK,0,0,0,37 4 36S,145 34 23E,VIC,,,,Issued,37,4,36,145,34,23,37.07666666666667,145.57305555555556
55,Alexandra/Eildon,3SUN,93.7,Commercial,M,30,OD,1000.0,1137748,10407539,42163,Dept of Conservation Site DEVILS RIVER,0,0,0,37 12 33S,145 50 30E,VIC,10389.0,SHEPPARTON RA1,,Issued,37,12,33,145,50,30,37.20916666666667,145.84166666666667
56,Alexandra/Eildon,3UGE,106.9,Community,M,30,OD,1000.0,10006078,1154825,42163,Dept of Conservation Site DEVILS RIVER,0,0,0,37 12 33S,145 50 30E,VIC,10411.0,ALEXANDRA/EILDON RA1,,Issued,37,12,33,145,50,30,37.20916666666667,145.84166666666667
57,Alexandra/Eildon,3UGE,106.9,Community,M,20,OD,400.0,10006078,1154825,137846,3UGE Studios 37A Perkins Street ALEXANDRA,0,0,0,37 11 28S,145 42 37E,VIC,10411.0,ALEXANDRA/EILDON RA1,,Issued,37,11,28,145,42,37,37.191111111111105,145.71027777777778
58,Alexandria,8ABCRR,105.5,Retransmission,V,12,OD,20.0,10010492,1156418,2352,The North Australia Pastoral Co Broadcast Site Alexandria Homestead ALEXANDRIA,0,0,0,19 3 22S,136 42 31E,NT,,,,Issued,19,3,22,136,42,31,19.05611111111111,136.7086111111111
59,Ali Curung,8KIN,103.7,Community,V,25,OD,20.0,10002283,1385271,3026,Broadcast Site Jungarrayi Street ALI CURUNG,0,0,0,21 0 9S,134 24 26E,NT,10181.0,CENTRAL ZONE RA2,,Issued,21,0,9,134,24,26,21.0025,134.40722222222223
60,Ali Curung,8ACR,106.1,Community,V,25,OD,20.0,10002282,11203783,3026,Broadcast Site Jungarrayi Street ALI CURUNG,0,0,0,21 0 9S,134 24 26E,NT,10110.0,ALI CURUNG RA1,,Issued,21,0,9,134,24,26,21.0025,134.40722222222223
61,Alice Springs,8JJJ,94.9,National,M,13,OD,400.0,10003990,1198406,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,,,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
62,Alice Springs,,95.9,HPON,M,20,OD,1000.0,10004014,1153490,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,,,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
63,Alice Springs,8SUN,96.9,Commercial,V,7,OD,400.0,10002362,1384923,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,10145.0,ALICE SPRINGS RA1,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
64,Alice Springs,8ABCFM,97.9,National,M,13,OD,800.0,10002363,1198389,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,,,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
65,Alice Springs,,98.7,HPON,M,20,OD,1000.0,10004214,1170814,570486,Optus Site West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 27E,NT,,,,Issued,23,43,21,133,51,27,23.722499999999997,133.8575
66,Alice Springs,8ABCRN,99.7,National,M,13,OD,400.0,10002351,1198390,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,,,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
67,Alice Springs,8KIN,100.5,Community,M,20,OD,800.0,10002364,1385237,570486,Optus Site West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 27E,NT,10181.0,CENTRAL ZONE RA2,,Issued,23,43,21,133,51,27,23.722499999999997,133.8575
68,Alice Springs,8CCC,102.1,Community,V,35,DA,400.0,10002365,10402087,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,10179.0,ALICE SPRINGS RA2,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
69,Alice Springs,8PNN,104.1,National,M,13,OD,1000.0,1132880,1566059,53447,Air Services Tower West Gap ALICE SPRINGS,0,0,0,23 43 21S,133 51 25E,NT,,,,Issued,23,43,21,133,51,25,23.722499999999997,133.85694444444445
70,Alpha,4RBL,95.9,Commercial,V,30,OD,100.0,10003647,1158251,153286,Water Tower 54 Byron St ALPHA,0,0,0,23 39 4S,146 37 51E,QLD,10216.0,REMOTE COMMERCIAL RADIO SERVICE NORTH EAST ZONE RA1,,Issued,23,39,4,146,37,51,23.65111111111111,146.63083333333333
71,Alpha,,100.7,HPON,M,70,OD,25.0,10004026,1171073,153286,Water Tower 54 Byron St ALPHA,0,0,0,23 39 4S,146 37 51E,QLD,,,,Issued,23,39,4,146,37,51,23.65111111111111,146.63083333333333
72,Alpha,4SBSFM,102.3,Retransmission,V,40,OD,30.0,1133251,1916236,153286,Water Tower 54 Byron St ALPHA,0,0,0,23 39 4S,146 37 51E,QLD,,,,Issued,23,39,4,146,37,51,23.65111111111111,146.63083333333333
73,Alpha,4QD,105.7,National,M,70,OD,50.0,10003846,1198707,140012,BAI Comms Site Lot 117 off Clermont-Alpha Road ALPHA,0,0,0,23 37 4S,146 37 48E,QLD,,,,Issued,23,37,4,146,37,48,23.61777777777778,146.63
74,Alpha,4ABCRN,107.3,National,M,70,OD,50.0,10003845,1198739,140012,BAI Comms Site Lot 117 off Clermont-Alpha Road ALPHA,0,0,0,23 37 4S,146 37 48E,QLD,,,,Issued,23,37,4,146,37,48,23.61777777777778,146.63
75,Alyangula,8JJJ,98.1,Retransmission,V,30,OD,500.0,1132991,1904737,10021980,GEMCO Site Cypress Rd ALYANGULA,0,0,0,13 51 2S,136 25 31E,NT,,,,Issued,13,51,2,136,25,31,13.850555555555555,136.42527777777778
76,Alyangula,8KIN,102.1,Community,V,20,OD,200.0,10003108,1385238,3138,BAI Comms Site Cypress Road ALYANGULA,0,0,0,13 51 1S,136 25 31E,NT,10181.0,CENTRAL ZONE RA2,,Issued,13,51,1,136,25,31,13.850277777777777,136.42527777777778
77,Alyangula,8ABCRR,106.1,National,M,40,OD,160.0,10003173,1198361,3138,BAI Comms Site Cypress Road ALYANGULA,0,0,0,13 51 1S,136 25 31E,NT,,,,Issued,13,51,1,136,25,31,13.850277777777777,136.42527777777778
78,Alyangula,8ABCRN,107.7,National,M,33,OD,160.0,10003172,1198368,3138,BAI Comms Site Cypress Road ALYANGULA,0,0,0,13 51 1S,136 25 31E,NT,,,,Issued,13,51,1,136,25,31,13.850277777777777,136.42527777777778
79,Amata,5ACR,106.1,Community,V,10,OD,10.0,10002887,10762611,153308,PY Media Site 54 Purara St AMATA,0,0,0,26 9 0S,131 8 46E,SA,10150.0,AMATA RA1,,Issued,26,9,0,131,8,46,26.15,131.1461111111111
80,Amrun,4ABCRR,93.3,Retransmission,V,60,DA,50.0,12000057,10101121,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
81,Amrun,,94.1,Retransmission,V,60,DA,50.0,12000130,10101221,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
82,Amrun,4RBL,94.9,Retransmission,V,60,DA,50.0,12000053,10101233,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
83,Amrun,4BRZ,97.3,Retransmission,V,60,DA,50.0,12000054,10101224,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
