Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0.025830556,-51.107592,93.3,84799
0.038888889,-51.10664,93.9,3
0.047777778,-51.10508,94.5,3
0.014169444,-51.107417,99.1,94439
0.071361111,-51.10455,99.9,116942
0.038888889,-51.10664,101.1,3
0.019722222,-51.10808,101.9,1
0.022222222,-51.10803,102.9,5
0.038888889,-51.10664,103.7,3
0.054722222,-51.10517,104.9,3
-0.116666667,-51.12833,95.3,3
3.84,-51.18217,91.9,3
3.843055556,-51.1835,99.7,3
0.778055556,-51.19436,88.7,3
0.713333333,-51.14133,88.5,3
1.743333333,-50.07914,88.7,3
-0.058333333,-51.11817,104.3,3
-0.021111111,-51.11683,92.3,1
-0.058333333,-51.11817,95.9,3
-0.058333333,-51.11817,98.3,3
0.901666667,-52.20033,101.7,3
1.505555556,-50.09119,88.5,3
-0.917222222,-52.24081,88.5,3
-13.26638889,-41.172417,91.1,3
-8.720277778,-39.91139,90.9,3
-11.66222222,-38.80172,90.3,3
-10.53333333,-38.81,90.1,3
-11.86666667,-38.87667,88.9,3
-14.12944444,-39.98878,90.1,3
-12.16603056,-38.847575,92.9,204137
-12.11018889,-38.838044,96.3,111198
-12.13333333,-38.84167,105.1,3
-17.51944444,-39.91956,89.1,3
-14.70527778,-39.96372,91.3,3
-13.01113889,-39.967967,102.3,53406
-12.38471944,-38.880028,90.5,3
-11.47222222,-41.15278,101.7,3
-14.61222222,-41.11356,88.5,3
-12.78696111,-41.1329,88.9,1662
-10.34472222,-39.98356,88.5,3
-12,-44.47,96.7,3
-12.15111111,-39.92464,93.1,3
-12.43527778,-39.91197,91.9,3
-10.57277778,-40.02753,102.3,3
-11.66027778,-38.80814,91.5,3
-13.85638889,-39.97439,92.5,3
-14.4275,-41.14619,88.9,3
-11.33333333,-38.89667,91.9,3
-12.09056111,-38.846222,91.9,595
-15.26333333,-39.94144,89.3,3
-13.07888889,-39.90017,91.7,3
-14.31666667,-39.93272,89.5,3
-12.30638889,-44.45347,89.1,3
-11.95972222,-40.01681,88.5,3
-10.57694444,-38.86147,88.9,3
-11.08333333,-43.315,105.1,3
-13.62611111,-41.13269,90.9,3
-14.88111111,-40.05794,88.7,3
-11.90028056,-42.209778,94.9,2377
-12.10111111,-44.4995,97.7,3
-12.16556111,-44.496028,98.5,1307
-12.15277778,-44.499,100.9,3
-12.10221944,-44.499444,99.1,3
-11.76083333,-41.19117,89.1,3
-15.86583333,-38.88828,91.5,3
-15.03833333,-41.12597,89.3,3
-14.3625,-40.02075,88.7,3
-12.66027778,-40.06092,88.5,3
-13.25,-43.34167,92.5,3
-13.25,-43.34167,105.9,3
-14.37361111,-40.05053,89.5,3
-12.70166667,-41.18275,88.7,3
-11.96944444,-41.12658,89.1,3
-12.82305556,-42.27306,93.5,3
-13.38166667,-42.25225,89.3,3
-12.48305556,-43.39664,88.9,3
-11.99888889,-42.26258,88.5,3
-14.18361111,-41.17242,97.9,3
-14.2,-41.16667,103.3,3
-14.95944444,-39.92997,92.1,3
-10.71416944,-43.3635,88.5,174
-14.97666667,-40.04075,89.1,3
-12.59388889,-38.89617,102.7,3
-14.50333333,-42.22222,88.5,3
-11.09055556,-40.04353,88.7,3
-14.3375,-40.09086,89.1,3
-14.06666667,-42.24833,105.1,3
-11.69361111,-41.14683,88.9,3
-13.48694444,-39.90439,90.7,3
-11.02,-40.03028,89.5,3
-15.38055556,-39.95689,95.1,3
-15.41916667,-39.94958,99.9,3
-12.80055556,-38.82942,93.1,3
-12.70833333,-38.83278,96.5,3
-13.94472222,-39.91039,88.5,3
-9.515555556,-43.30111,88.5,3
-10.54357222,-40.03183,98.1,3
-13.06972222,-44.42022,88.5,3
-11.68472222,-41.17689,88.5,3
-15.56138889,-39.902875,99.3,172333
-11.80805556,-39.91192,93.9,3
-12.67333333,-38.8545,89.3,3
-14.41083333,-42.28672,88.5,3
-15.505,-41.12392,95.5,3
-10.67055556,-39.94978,102.9,1
-9.896666667,-39.90264,88.7,3
-11.36833333,-40.00128,90.9,3
-14.72583333,-41.12592,89.5,3
-17.71666667,-39.92667,105.9,3
-11.94166667,-37.79486,89.7,3
-14.30166667,-43.37667,91.5,3
-14.30472222,-43.3765,94.1,1
-9.161944444,-40.09708,88.5,3
-12.85278056,-39.947611,94.7,3
-12.31805556,-44.48611,88.9,3
-12.37898056,-38.839121,100.5,9301
-13.32944444,-42.22906,89.1,3
-11.13555556,-42.21128,88.5,3
-8.979722222,-39.90964,88.9,3
-11.09972222,-38.85136,89.9,3
-14.16666667,-44.45333,90.3,3
-12.50583333,-38.89986,91.1,3
-12.77944444,-39.917,90.3,3
-11.56388889,-39.92828,89.1,3
-11.56388889,-39.92828,92.1,3
-12.31666667,-38.87667,88.5,3
-12.31666667,-38.87667,89.9,5
-11.81361111,-37.76106,98.9,3
-14.89527778,-41.19686,88.9,3
-13.76277778,-41.10411,88.5,3
-15.03861111,-41.19347,89.5,3
-13.82916667,-44.44544,88.7,3
-10.28416667,-37.79264,90.9,3
-13.35916667,-44.46453,97.9,30
-12.02833333,-44.42578,88.5,3
-13.35861111,-39.9815,92.1,3
-12.23361111,-44.44208,88.7,3
-12.65853056,-39.910153,93.7,80811
-8.990277778,-39.99094,88.5,3
-14.43638889,-39.99078,89.9,3
-12.61111111,-38.83075,93.9,3
-13.76027778,-41.17714,88.9,3
-12.94638889,-39.95217,89.3,3
-15.53138889,-40.09094,88.5,3
-11.94526111,-38.808485,88.5,722
-13.41777778,-42.21403,89.5,3
-11.79611111,-37.7945,88.9,3
-11.79611111,-37.7945,96.5,3
-10.50166667,-39.90339,91.1,15
-10.51111111,-39.90292,95.7,3
-10.51666667,-39.90167,105.9,3
-16.39172222,-39.95619,92.7,3
-16.39172222,-39.95619,96.3,15
-16.39083333,-39.95606,98.5,3
-10.6,-38.82167,88.5,3
-14.21277778,-44.42811,89.3,3
-12.295,-38.89567,95.3,15
-12.26116111,-38.894696,96.9,30
-12.25555556,-38.89736,99.5,15
-12.25231667,-38.89566,100.9,161808
-12.26666667,-38.89667,106.3,3
-12.25,-38.89667,107.9,3
-10.74277778,-40.01319,88.9,3
-14.98527778,-39.99236,90.5,3
-14.86,-39.96597,89.5,3
-11.05,-45.52,93.7,3
-13.74971944,-39.947361,103.1,105792
-11.47055556,-39.97839,90.7,3
-11.42888889,-42.25028,90.9,3
-9.338055556,-38.82547,90.9,3
-14.32222222,-39.94647,90.3,3
-12.60194444,-39.90433,91.5,3
-14.54722222,-41.19403,88.7,3
-14.08,-42.26814,96.3,3
-14.16211111,-42.269808,106.1,15369
-16.58388889,-39.97828,88.5,3
-10.68333333,-38.82861,89.7,3
-12.76722222,-40.02117,96.5,3
-12.76722222,-40.02117,101.7,3
-14.25944444,-42.22569,89.1,3
-14.86723056,-39.958953,88.5,5384
-14.865,-39.95875,101.1,3
-13.41055556,-41.12847,89.5,3
-14.84166667,-39.99867,88.9,3
-11.64083333,-42.20111,91.3,3
-12.88222222,-42.24858,90.9,3
-12.65111111,-40.09336,88.7,3
-14.16416667,-39.93736,100.5,1
-17.68777778,-40.01092,88.7,3
-14.06694444,-39.96406,95.5,3
-12.65222222,-42.22178,88.5,3
-12.17777778,-43.32131,88.3,3
-12.17861111,-43.32161,97.9,3
-11.74861111,-39.91922,91.5,3
-13.77333333,-42.27142,88.7,3
-13.82638889,-39.91422,90.5,3
-14.74638889,-40.00956,105.7,3
-14.77861111,-39.905833,97.9,3
-14.77583333,-39.90883,102.9,50
-14.8,-39.90333,105.1,1
-11.78444444,-38.83531,90.9,3
-12.3,-39.93075,90.9,3
-14.16525,-39.971228,91.1,14043
-14.13333333,-39.97333,94.1,3
